"election_month","election_type","office_key","gid","gid_level","glabel","candidate","candidate_major","candidate_party","candidate_party_major","metric_desc","metric"
201611,"general","pr","29117","county","Livingston","trump","trump","republican","republican","votes",4879
201611,"general","pr","29121","county","Macon","trump","trump","republican","republican","votes",5798
201611,"general","pr","29123","county","Madison","trump","trump","republican","republican","votes",4102
201611,"general","pr","29125","county","Maries","trump","trump","republican","republican","votes",3561
201611,"general","pr","29127","county","Marion","trump","trump","republican","republican","votes",9419
201611,"general","pr","29119","county","McDonald","trump","trump","republican","republican","votes",6599
201611,"general","pr","29129","county","Mercer","trump","trump","republican","republican","votes",1486
201611,"general","pr","29131","county","Miller","trump","trump","republican","republican","votes",9285
201611,"general","pr","29133","county","Mississippi","trump","trump","republican","republican","votes",3600
201611,"general","pr","29135","county","Moniteau","trump","trump","republican","republican","votes",5347
201611,"general","pr","29137","county","Monroe","trump","trump","republican","republican","votes",3159
201611,"general","pr","29139","county","Montgomery","trump","trump","republican","republican","votes",4127
201611,"general","pr","29141","county","Morgan","trump","trump","republican","republican","votes",6760
201611,"general","pr","29143","county","New Madrid","trump","trump","republican","republican","votes",5270
201611,"general","pr","29145","county","Newton","trump","trump","republican","republican","votes",20553
201611,"general","pr","29147","county","Nodaway","trump","trump","republican","republican","votes",6380
201611,"general","pr","29149","county","Oregon","trump","trump","republican","republican","votes",3671
201611,"general","pr","29151","county","Osage","trump","trump","republican","republican","votes",5856
201611,"general","pr","29153","county","Ozark","trump","trump","republican","republican","votes",3639
201611,"general","pr","29155","county","Pemiscot","trump","trump","republican","republican","votes",3964
201611,"general","pr","29157","county","Perry","trump","trump","republican","republican","votes",6908
201611,"general","pr","29159","county","Pettis","trump","trump","republican","republican","votes",12810
201611,"general","pr","29161","county","Phelps","trump","trump","republican","republican","votes",12709
201611,"general","pr","29163","county","Pike","trump","trump","republican","republican","votes",5274
201611,"general","pr","29165","county","Platte","trump","trump","republican","republican","votes",25933
201611,"general","pr","29167","county","Polk","trump","trump","republican","republican","votes",10438
201611,"general","pr","29169","county","Pulaski","trump","trump","republican","republican","votes",9876
201611,"general","pr","29171","county","Putnam","trump","trump","republican","republican","votes",1936
201611,"general","pr","29173","county","Ralls","trump","trump","republican","republican","votes",3969
201611,"general","pr","29175","county","Randolph","trump","trump","republican","republican","votes",7529
201611,"general","pr","29177","county","Ray","trump","trump","republican","republican","votes",7104
201611,"general","pr","29179","county","Reynolds","trump","trump","republican","republican","votes",2406
201611,"general","pr","29181","county","Ripley","trump","trump","republican","republican","votes",4522
201611,"general","pr","29195","county","Saline","trump","trump","republican","republican","votes",5977
201611,"general","pr","29197","county","Schuyler","trump","trump","republican","republican","votes",1505
201611,"general","pr","29199","county","Scotland","trump","trump","republican","republican","votes",1525
201611,"general","pr","29201","county","Scott","trump","trump","republican","republican","votes",13168
201611,"general","pr","29203","county","Shannon","trump","trump","republican","republican","votes",2966
201611,"general","pr","29205","county","Shelby","trump","trump","republican","republican","votes",2524
201611,"general","pr","29183","county","St. Charles","trump","trump","republican","republican","votes",121650
201611,"general","pr","29185","county","St. Clair","trump","trump","republican","republican","votes",3501
201611,"general","pr","29187","county","St. Francois","trump","trump","republican","republican","votes",17468
201611,"general","pr","29189","county","St. Louis","trump","trump","republican","republican","votes",202434
201611,"general","pr","29510","county","St. Louis City","trump","trump","republican","republican","votes",20832
201611,"general","pr","29186","county","Ste. Genevieve","trump","trump","republican","republican","votes",5496
201611,"general","pr","29207","county","Stoddard","trump","trump","republican","republican","votes",11079
201611,"general","pr","29209","county","Stone","trump","trump","republican","republican","votes",13158
201611,"general","pr","29211","county","Sullivan","trump","trump","republican","republican","votes",1884
201611,"general","pr","29213","county","Taney","trump","trump","republican","republican","votes",18276
